sample_id	donor_rrid_ref	study_accession	library_chemistry	library_prep_kit	sequencing_platform	alignment_tool	reference_genome	cellranger_version	n_cells	mean_umi_count_per_cell	mean_genes_per_cell	mean_total_reads_per_cell	mean_uniquely_mapped_reads_per_cell	mean_secondary_alignments_per_cell	mean_supplementary_alignments_per_cell	mean_cellbender_cell_probability	mean_post_cellbender_umis_per_cell	mean_pct_cellbender_removed	mean_pct_mitochondrial_reads
HPAP-106	HPAP-106	HPAP	V3							29934.823957016433	4587.229456384323	126764.13527180784	111177.32395701643	41934.36725663717	0.0	0.9999237875872103	32390.589759797724	4.570438106896058	4.964440983036282
HPAP-107	HPAP-107	HPAP	V3							27019.158854166668	4191.185267857143	92546.36755952382	84854.29055059524	16231.792410714286	0.0	0.9999698166114588	29568.30078125	3.5912816461982215	4.853668550163773
HPAP-108	HPAP-108	HPAP	V3							5832.2312799704905	1816.8247879011435	90741.0298782737	73045.95462928808	57746.27148653633	0.0	0.9999114510670926	6431.020287716709	9.063888284097569	4.719091319094566
HPAP-109	HPAP-109	HPAP	V3							30585.97298325723	4343.818112633181	84765.70471841705	73534.04090563166	20205.0047564688	0.0	0.9999753724857371	32595.045662100456	7.3379949153011275	8.25348409040498
HPAP-110	HPAP-110	HPAP	V3							21065.61281120332	4077.2689315352695	47069.05964730291	43145.3762966805	5355.660010373444	0.0	0.9999860146419141	22803.213692946058	5.326590125217652	5.562796305792684
HPAP-111	HPAP-111	HPAP	V3							21257.131777108432	4138.737763554217	58131.81607680723	51662.88064759036	17894.515436746988	0.0	0.9999542869851891	23201.691641566264	4.277892453659067	5.583007607837399
HPAP-113	HPAP-113	HPAP	V3							19666.462313667857	3829.3321436069705	48242.3667856393	40848.612219189585	20662.82175099727	0.0	0.9999344952962941	21578.16523199664	4.846520456203887	6.341026103050264
HPAP-114	HPAP-114	HPAP	V3							23641.605214836578	4128.539478516343	61457.097686375324	54802.325743665075	18711.17260374587	0.0	0.999961009149905	26209.75027543151	3.087544957849644	6.01464635267251
HPAP-117	HPAP-117	HPAP	V3							21549.61397234144	4131.361945636624	52676.05150214592	46911.5631855031	17056.396518836435	0.0	0.9999545856663654	23714.665236051504	3.2625424117996324	4.628529072087499
HPAP-118	HPAP-118	HPAP	V3							13621.576616018543	2620.332732423384	39784.14962657739	33569.511975276844	15315.778521761524	0.0	0.9999378021156975	14771.389132114344	4.034495582254653	3.1834025815343137
HPAP-119	HPAP-119	HPAP	V3							11231.117853658536	2517.408	36012.46107317073	32486.312780487806	8091.367414634146	0.0	0.999970251746294	12160.969560975609	5.030671187016058	4.151481868256739
HPAP-120	HPAP-120	HPAP	V3							10375.178112538768	3174.0119627824547	44419.605228178996	37602.60079751883	20364.47607443509	0.0	0.9999654463793146	11368.63867966327	5.867239649128328	1.953208543191677
HPAP-122	HPAP-122	HPAP	V3							17670.77026604069	3031.3273865414712	67257.91392801252	58578.11737089202	23758.53959311424	0.0	0.9999557797897589	19114.38090766823	11.325444894591751	4.113348373591733
HPAP-123	HPAP-123	HPAP	V3							5375.042618900556	1888.3156269302037	45903.366687255504	38757.47910232654	22309.035824583076	0.0	0.9998439293180642	6062.358657607577	20.625573075991444	6.178448739509549
HPAP-124	HPAP-124	HPAP	V3							10066.380262562245	2283.222272521503	54537.43096423721	47746.208239022184	16209.306020823902	0.0	0.999900191658058	10780.662290629243	12.481680350714806	1.3843462277485077
HPAP-126	HPAP-126	HPAP	V3							12144.04739084132	2612.9156017039404	43786.49014909478	38654.95713525027	8903.839723109691	0.0	0.9999584567210418	12990.931576144834	4.207792821686587	1.8612666417997907
SAMN08768781__rep1__no_treatment	SAMN08768781	GSE183568	V2							3586.450153374233	1565.810199386503	8643.704754601227	7568.944401840491	1066.1928680981596	0.0	0.9997246102915586	3950.7595858895706	17.19915925744582	2.733085517550677
SAMN08768781__rep2__no_treatment	SAMN08768781	GSE183568	V2							3255.2137582588416	1459.0466381655656	8111.553828216091	7085.442673921492	983.4916439953362	0.0	0.9997355922205273	3578.433346288379	20.12194683471237	2.7349870096224
